,spp,sp_code,CCE_Area
157,Claoxylon sandwicense,157,1630.8981
158,Clermontia arborescens,158,523.0431
159,Clermontia calophylla,159,264.3192
160,Clermontia clermontioides,160,1381.2336
161,Clermontia drepanomorpha,161,96.5592
162,Clermontia fauriei,162,473.49
163,Clermontia grandiflora,163,404.3862
164,Clermontia hawaiiensis,164,3136.329
165,Clermontia kakeana,165,1773.3006
166,Clermontia kohalae,166,882.2475
167,Clermontia lindseyana,167,1644.6717
168,Clermontia micrantha,168,88.9344
169,Clermontia montis-loa,169,1850.9607
170,Clermontia oblongifolia,170,727.6131
171,Clermontia pallida,171,34.5222
172,Clermontia parviflora,172,2259.9558
173,Clermontia peleana,173,1196.388
174,Clermontia persicifolia,174,296.1495
175,Clermontia pyrularia,175,264.1608
176,Clermontia samuelii,176,215.0757
177,Clermontia tuberculata,177,85.0374
178,Clermontia waimeae,178,69.1812
179,Cocculus orbiculatus,179,12993.7329
180,Colubrina asiatica,180,141.0552
181,Colubrina oppositifolia,181,1685.7108
182,Coniogramme pilosa,182,4909.3479
183,Coprosma cymosa,183,1020.3714
184,Coprosma elliptica,184,59.8455
185,Coprosma ernodeoides,185,6872.1525
186,Coprosma foliosa,186,1919.9538
187,Coprosma granadensis,187,1981.9683
188,Coprosma kauensis,188,297.6255
189,Coprosma longifolia,189,241.4718
190,Coprosma menziesii,190,5385.7179
191,Coprosma montana,191,3587.0913
192,Coprosma ochracea,192,4527.9756
193,Coprosma pubens,193,4987.2312
194,Coprosma rhynchocarpa,194,5661.54
195,Coprosma ternata,195,109.0071
196,Coprosma waimeae,196,180.3285
197,Cressa truxillensis,197,12.6873
198,Cryptocarya mannii,198,823.0257
199,Ctenitis latifrons,199,1884.7989
200,Ctenitis squamigera,200,915.0102
201,Cuscuta sandwichiana,201,2439.0171
202,Cyanea aculeatiflora,202,143.4762
203,Cyanea acuminata,203,300.7197
204,Cyanea angustifolia,204,933.8814
205,Cyanea arborea,205,20.9664
206,Cyanea asarifolia,206,176.382
207,Cyanea asplenifolia,207,118.4463
